geGloss|geSentence|viSentence
JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR|und nun die wettervorhersage für morgen donnerstag den zwölften august|Và bây giờ dự báo thời tiết cho ngày mai thứ năm
ORT REGEN DURCH REGEN KOENNEN UEBERSCHWEMMUNG KOENNEN|mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich|Ở một số nơi, nó cũng mưa lâu hơn và hiệu quả, ngay cả lũ lụt địa phương lại có thể
NORDWEST HEUTE NACHT TROCKEN BLEIBEN SUEDWEST KOENNEN REGEN ORT GEWITTER DAZU|im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner|Ở Tây Bắc, nó thường luôn khô ráo tối nay với những cơn mưa rào mạnh mẽ một phần phải được tính toán tại địa phương
TAGSUEBER OFT REGEN GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN|auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen|Cũng trong ngày có vòi hoa sen hoặc giông bão rộng rãi và ở một số vùng có lượng mưa hiệu quả
WOLKE LOCH SPEZIELL NORDWEST|größere wolkenlücken finden sich vor allem im nordwesten|Có thể tìm thấy những khoảng trống trên đám mây lớn hơn đặc biệt là ở Tây Bắc
FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD|im emsland heute nacht nur neun am oberrhein bis siebzehn grad|Ở Emsland tối nay chỉ chín ở Thượng Rhine đến mười bảy độ
MORGEN TEMPERATUR GLEICH WIE HEUTE NEUNZEHN BIS FUENF ZWANZIG L PUNKT SIEBEN ZWANZIG GRAD|morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad|Ngày mai nhiệt độ tương tự như mười chín đến hai mươi ở Lusatia lên đến hai mươi độ
FREITAG OST KOENNEN REGEN STARK REGEN VORSICHT UEBERSCHWEMMUNG KOENNEN|am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr|Vào thứ Sáu, đôi khi nó có thể cẩn thận ở nửa phía đông của nửa phía đông và thận trọng rất nhiều.
REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE|sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten|Nếu không có thể thay đổi với vòi hoa sen và giông bão đi kèm với chúng tôi vào cuối tuần
TEMPERATUR BLEIBEN GLEICH|am temperaturniveau ändert sich wenig|Những thay đổi nhỏ ở mức nhiệt độ
MORGEN WETTER WIE AUSSEHEN DIENSTAG SECHS ZWANZIG OKTOBER|und nun die wettervorhersage für morgen dienstag den sechsundzwanzigsten oktober|Và bây giờ dự báo thời tiết cho ngày mai thứ ba, hai mươi tháng 10
ITALIEN PUNKT TIEF DRUCK KOMMEN HEUTE NACHT BERG SCHNEE REGEN|das tief über italien sorgt dafür dass es an den alpen in der nacht noch schneit oder regnet|Sâu phía trên Ý đảm bảo rằng nó vẫn còn tuyết hoặc mưa trên dãy Alps vào ban đêm
LANG ZEIT REGION HOCH KOMMEN OST KOMMEN SONST REGION DEUTSCH STARK RUHIG AUCH TEILWEISE FREUNDLICH SONNE|gleichzeitig weitet sich das hoch über der britannie weiter nach osten aus und beschert uns morgen in weiten teilen deutschlands ruhiges teilweise auch freundliches wetter|Đồng thời, vùng cao phía trên Britannie tiếp tục ở phía đông và ngày mai sẽ cho chúng ta một thời tiết thân thiện ở các vùng lớn của Đức.
TAG MISCHUNG SONNE WOLKE KOENNEN NEBEL SUEDOST SUED NORD HABEN SCHAUER KOENNEN ABEND DANN NORDWEST BISSCHEN WOLKE KOMMEN|am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter|Vào ngày một hỗn hợp của những đám mây mặt trời và sương mù ở phía đông và đông nam cũng như trên vòi hoa sen cá nhân Biển Bắc ở Tây Bắc, những đám mây dày hơn ở Tây Bắc
WIND WEHEN ABEND FRISCH WEHEN|im norden und osten weht der wind schwach bis mäßig sonst meist nur schwach am abend frischt er im nordwesten auf|Ở phía bắc và phía đông, gió thổi yếu đến mức vừa phải, nếu không chỉ yếu vào buổi tối, nó làm mới ở Tây Bắc
HEUTE NACHT SECHS GRAD NORD MINUS SECHS ALLGAEU REGION|in der nacht sechs grad an der nordsee und minus sechs grad im allgäu|Vào ban đêm, sáu độ trên Biển Bắc và trừ sáu độ trong Allgäu
DREI REGION DREI ELF REGION|am tag drei grad im berchtesgadener land und elf grad am niederrhein|Vào ngày ba độ ở vùng đất Berchtesgadener và mười một độ ở vùng thấp hơn sông Rhine
REGION WOLKE NEBEL UND SONNE|richtung südosten wolken nebel teilweise auch sonne|về phía phần sương mù đám mây đông nam cũng mặt trời
MORGEN MITTE EUROPA HOCH KOMMEN BLEIBEN BIS MINDESTENS SONNTAG SONNE TEMPERATUR STEIGEN|das hoch das morgen über dem östlichen mitteleuropa liegt bestimmt bis mindestens sonntag unser wetter mit viel sonne und steigenden temperaturen|Mức cao mà ngày mai trên miền đông Trung Âu được xác định cho đến ít nhất là Chủ nhật thời tiết của chúng ta với nhiều ánh nắng mặt trời và nhiệt độ tăng
ABER BLEIBEN TROCKEN NUR WEST SUEDWEST SONNTAG KOENNEN REGEN|die trockenheit dauert damit an nur im westen und südwesten sind am sonntag schauer möglich|Hạn hán chỉ diễn ra ở phía tây và phía tây nam của Schauer vào Chủ nhật
HEUTE NACHT REGION KLAR DEUTSCHLAND PUNKT KOENNEN SEHEN NUR KOMMEN NORD REGION|heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts|Tối nay chỉ rõ ràng một vài đám mây che mặt mỏng kéo qua phía bắc và Trung Đông
